SATIS_NO;LEAD_ID;MUSTERI_ID;BAYI_KODU;ARAC_KODU;DANISMAN_ID;SATIS_TARIHI;TESLIMAT_TARIHI;NET_FIYAT;ODEME_TIPI;TAKAS_DEGERI;SASE_NO
S001869;L0010042;C003166;D007;V010;A0073;21.10.2025;09.11.2025;4299000;cash;;WBAPU0NECPP7VJV2M
S001725;L0009291;C001679;D003;V017;A0034;10.11.2025;28.11.2025;3855000;financing;;WBA3Z7JVZGVLG81VB
S000998;L0005265;C001807;D014;V008;A0143;24.11.2025;12.12.2025;3761000;bank_transfer;690000;WBAEBGYGVDS0ER9TC
S001177;L0006161;C004436;D003;V028;A0032;20.02.2025;01.04.2025;3684000;financing;;WBAGS919J9NF7GNX9
S001041;L0005491;C004802;D001;V013;A0011;21.08.2026;11.09.2026;10770000;cash;;WBAWUHJNEZ14XXA1L
S001994;L0010761;C000359;D006;V004;A0063;04.04.2026;11.04.2026;4793000;cash;;WBAUR5832Y5EDMFJW
S001557;L0008411;C004668;D007;V004;A0073;08.12.2025;11.12.2025;4758000;cash;;WBABGGV9SA4BTWB1G
S002180;L0011827;C006175;D003;V025;A0033;07.01.2026;19.02.2026;2790000;cash;730000;WBA6ZYZDBCA7MXSEN
S001380;L0007476;C001027;D006;V024;A0061;02.03.2026;15.03.2026;2500000;financing;;WBALDBRZBR235K4E8
S000042;L0000259;C001088;D001;V010;A0012;24.06.2025;07.08.2025;4230000;cash;;WBA8BNA3H7R81UD1R
S001531;L0008282;C004377;D003;V017;A0031;28.08.2025;23.09.2025;3817000;financing;760000;WBA4LRNWVLZPTNJKT
S002597;L0014066;C002315;D009;V027;A0094;16.09.2025;28.09.2025;3458000;financing;;WBAX5UH58YRSARF22
S002406;L0013044;C005377;D012;V026;A0121;14.05.2026;19.05.2026;2752000;financing;;WBAS9V16L36GZ5XJM
S001958;L0010570;C005036;D006;V033;A0061;27.06.2026;05.07.2026;5014000;cash;;WBAAC44NDSWTD02AH
S001548;L0008369;C000936;D008;V018;A0083;27.10.2025;05.12.2025;4425000;cash;1490000;WBA9SYNEUBHG3LSYT
S000610;L0003216;C002066;D007;V009;A0074;06.10.2025;11.10.2025;4674000;cash;2170000;WBACAPKRM4TJTT0YS
S001133;L0005949;C002330;D005;V021;A0053;14.04.2026;09.05.2026;7142000;financing;;WBA9P9VWH2TH9WKXZ
S000029;L0000143;C000572;D007;V026;A0074;22.04.2026;10.05.2026;2734000;bank_transfer;;WBAUPU88MW011UPTT
S000442;L0002436;C001086;D002;V026;A0022;29.05.2026;19.06.2026;2705000;financing;1150000;WBAA9FR3ZCRGCFB4M
S001663;L0009050;C000991;D006;V019;A0064;10.07.2025;15.08.2025;4218000;financing;;WBA0WNXT9D3J6S3LK
S001941;L0010445;C001233;D007;V021;A0074;12.08.2026;13.09.2026;6699000;financing;3030000;WBA7H7KY9U5R8PSM3
S000494;L0002675;C002117;D002;V001;A0023;01.07.2025;14.07.2025;3358000;cash;;WBADYG97UJD3N665X
S001259;L0006682;C001253;D010;V005;A0104;12.02.2026;25.02.2026;6652000;financing;;WBANHH5BHFW5RYGA1
S001302;L0006977;C005501;D007;V026;A0071;17.10.2024;25.10.2024;2872000;cash;;WBA2FYLJL69USVBEV
S002177;L0011817;C003834;D007;V028;A0072;07.05.2026;16.05.2026;3839000;financing;1450000;WBA9T0Z7UVBN31222
S001383;L0007485;C000137;D007;V031;A0073;14.05.2025;21.06.2025;10183000;financing;;WBAG7FBTXZNWBZVSW
S001305;L0007025;C000768;D002;V034;A0022;17.08.2026;22.09.2026;5507000;cash;2590000;WBAG4BU093P5VC35T
S000237;L0001284;C002668;D004;V030;A0041;18.02.2026;31.03.2026;11110000;cash;;WBAXYGR6LELEMS4BN
S000552;L0002932;C004243;D009;V011;A0092;15.04.2026;05.05.2026;6204000;financing;1720000;WBAXZMCT4Z5N5BZGJ
S000521;L0002812;C005537;D003;V003;A0031;20.04.2026;27.04.2026;4538000;bank_transfer;;WBAT1P39YHNMHNVUF
S002718;L0014846;C002143;D010;V012;A0104;09.06.2025;23.06.2025;6483000;financing;;WBAKEV4XMS2V0YRH2
S001233;L0006577;C004994;D003;V011;A0034;25.03.2026;30.03.2026;5963000;financing;;WBALMVBYCLSPZ46TZ
S001139;L0005977;C001155;D006;V020;A0061;18.07.2025;25.08.2025;6421000;bank_transfer;;WBAK6NYBL06ZAMLSV
S000721;L0003853;C003764;D001;V037;A0012;20.05.2025;06.06.2025;16497000;financing;;WBADGYJA6ZBLG4MUU
S000736;L0003916;C002457;D002;V026;A0021;29.06.2026;20.07.2026;2800000;financing;;WBAETBFCH5BZ3BYT9
S002448;L0013247;C002482;D007;V008;A0074;07.04.2026;30.04.2026;3960000;cash;;WBADFV090DFASJ65W
S000059;L0000345;C003451;D004;V011;A0042;22.08.2025;13.09.2025;6236000;cash;;WBAGAFYYKUE2FCAVP
S000632;L0003367;C003709;D003;V036;A0034;03.08.2026;30.08.2026;13908000;financing;;WBADGTAGJDDAMNWP4
S001182;L0006203;C006086;D004;V022;A0044;02.05.2026;22.05.2026;9669000;financing;;WBAHYJ8C3ZCKYSG0J
S002107;L0011399;C000362;D007;V018;A0071;22.09.2025;03.10.2025;4316000;financing;;WBA1ZDP770C597X67
S000593;L0003102;C004041;D013;V026;A0133;01.06.2026;27.06.2026;2785000;cash;;WBADAMU8SM76288FC
S001304;L0006996;C000503;D004;V004;A0044;19.11.2023;26.12.2024;4653000;cash;1200000;WBAHRFAD1VAMFJHDM
S001388;L0007514;C005029;D004;V035;A0042;21.05.2026;04.07.2026;7293000;bank_transfer;;WBADARPWFJ43YGE2N
S002415;L0013082;C002717;D004;V026;A0041;23.09.2025;10.10.2025;2851000;financing;;WBA1VAC0YEJF9HBZE
S002674;L0014526;C002841;D011;V008;A0114;13.04.2026;23.04.2026;3989000;financing;;WBABJYJTF67KDCH8F
S001579;L0008589;C005094;D002;V002;A0021;31.10.2025;22.11.2025;3540000;cash;;WBAM3AXPJDRH8MTNV
S000940;L0004946;C002974;D009;V024;A0092;08.08.2025;19.08.2025;2496000;bank_transfer;;WBAD8AUK0HBA190WH
S002576;L0013944;C001669;D003;V027;A0032;20.10.2025;25.10.2025;3583000;financing;;WBAG9T6H8R8BKX4E7
S001250;L0006646;C004032;D005;V013;A0051;05.01.2026;18.01.2026;11068000;financing;;WBAKU2RKRL2N7USDF
S000905;L0004750;C004881;D003;V001;A0031;04.05.2026;15.06.2026;3264000;financing;;WBA8VXH8GZTZH1B4V
S001280;L0006860;C005337;D003;V005;A0031;17.11.2025;14.12.2025;6072000;cash;;WBAKUPEGR18NU99SA
S002213;L9035329;C004442;D002;V003;A0023;08.07.2025;06.08.2025;4587000;financing;;WBAPPZB5Y3ZXWA26N
S002654;L0014431;C000464;D007;V016;A0074;18.10.2025;27.10.2025;5096000;financing;;WBA3SSD0P8B39JRPP
S002442;L0013215;C003648;D005;V014;A0054;18.07.2026;02.08.2026;11246000;cash;;WBA41Y4J0ZWSUT3CG
S001748;L0009394;C002703;D002;V014;A0024;02.02.2026;07.03.2026;11748000;cash;2420000;WBA7M4H8NR9JWD6PY
S001143;L0005998;C005958;D006;V022;A0063;10.10.2024;07.11.2024;8967000;cash;;WBAJUGZWF4P69HTYY
S002193;L0011890;C003256;D002;V026;A0022;19.08.2026;23.09.2026;2776000;cash;440000;WBA1VXNB218XKJVE4
S000707;L0003800;C003459;D006;V027;A0061;12.11.2025;23.11.2025;3578000;financing;;WBAVVH2KDN34W1GWN
S002045;L0011020;C003504;D003;V025;A0034;08.09.2025;26.09.2025;3005000;cash;1450000;WBALYNF1KXFX6GRLP
S001023;L0005427;C003966;D014;V013;A0144;30.03.2026;01.05.2026;11066000;cash;;WBA1NJX75UPGYP788
S000746;L0003963;C003494;D001;V033;A0012;21.11.2025;09.12.2025;5054000;cash;;WBA65W54SD26NJ108
S001547;L0008363;C005282;D001;V033;A0013;27.11.2025;14.12.2025;5160000;cash;;WBATW7ENC8XMUHHNH
S002169;L0011767;C004290;D008;V017;A0083;27.01.2026;15.02.2026;3722000;cash;;WBAN3RCTN8CRY6VX2
S002655;L0014452;C002948;D007;V003;A0072;12.06.2026;08.07.2026;4442000;financing;2020000;WBAWW0NC4XVVLKC8X
S000514;L0002748;C005402;D013;V024;A0132;22.09.2025;21.10.2025;2476000;financing;;WBAJ9R05EPXUL2PFS
S000082;L0000464;C001680;D003;V022;A0032;29.12.2025;23.01.2026;9448000;cash;;WBAVBB9MHU3WHVN8T
S002456;L0013299;C004361;D003;V024;A0032;25.02.2025;14.03.2025;2510000;financing;460000;WBARYM7PB18KSCARB
S001309;L0007052;C002073;D007;V001;A0074;15.04.2025;16.05.2025;3298000;cash;;WBAJWBEU1JK5RVLX8
S000915;L0004794;C005253;D005;V025;A0052;16.01.2025;28.02.2025;2971000;financing;;WBA566C6D3SW632XJ
S001405;L0007597;C003014;D005;V009;A0052;06.07.2026;04.08.2026;4542000;financing;1340000;WBA9HHAGJ12CCHLHR
S002549;L0013797;C000907;D004;V002;A0042;10.01.2026;17.02.2026;3767000;cash;;WBALWSWK60M648Y44
S001109;L0005781;C002790;D005;V010;A0052;22.08.2025;24.09.2025;4415000;bank_transfer;;WBA6SBH0MRYP2H35A
S000151;L0000843;C000330;D002;V001;A0021;03.08.2026;20.08.2026;3298000;cash;;WBAWLVBNJ1HZL77WL
S000775;L0004076;C000791;D004;V008;A0043;08.05.2025;23.05.2025;3927000;financing;;WBA3NP6NW9SSKD1LK
S000330;L0001876;C005660;D001;V001;A0012;19.08.2025;14.09.2025;3305000;cash;;WBAJ3KEF0STJ2KN3J
S000007;L0000031;C004860;D006;V010;A0064;23.04.2025;14.05.2025;4420000;cash;1570000;WBAGGYR5CJUVE8BZP
S000944;L0004971;C005057;D011;V017;A0112;16.01.2026;04.02.2026;3877000;financing;1320000;WBA7XLSJRN9JVHWK5
S001957;L0010569;C002943;D001;V018;A0013;16.06.2026;14.07.2026;4432000;cash;;WBA2C6AXB7A8WYT20
S000735;L0003914;C002770;D001;V025;A0012;30.05.2026;02.06.2026;2814000;cash;;WBABL00BLN9ERTJN4
S000910;L0004767;C001733;D005;V028;A0053;03.06.2026;15.07.2026;3819000;cash;;WBAM7P2HF8AP13YGB
S000469;L0002569;C000490;D002;V025;A0022;11.06.2026;21.06.2026;2878000;bank_transfer;;WBAFXFA6SVA11MF9A
S000182;L0001022;C003772;D008;V020;A0081;12.02.2026;06.03.2026;5944000;cash;;WBAN5KYSGYUDRZ89E
S000165;L0000923;C005652;D007;V029;A0074;02.03.2026;15.04.2026;3145000;financing;1230000;WBA1Y6XM2YTR5JDXA
S001918;L0010315;C004316;D009;V026;A0091;15.09.2025;14.10.2025;2711000;cash;;WBAA9FM316S1L69K6
S000452;L0002477;C004839;D014;V019;A0143;10.04.2026;10.05.2026;4232000;cash;;WBAPX2NV7JHSXB7ZF
S000491;L0002668;C004055;D006;V026;A0062;21.10.2025;12.11.2025;2754000;bank_transfer;;WBA4S9541G3ZHXBZ3
S002060;L0011119;C003712;D001;V004;A0013;28.11.2025;07.12.2025;4884000;cash;;WBAZ4VU2VC29KWT6X
S001144;L0006001;C001967;D013;V007;A0131;13.03.2025;14.04.2025;13263000;financing;;WBAW19AJV4XG3C3PL
S001312;L0007078;C001910;D011;V019;A0113;30.09.2025;30.10.2025;4271000;cash;;WBA4853EBHW1962LX
S002070;L0011156;C004585;D002;V028;A0022;03.11.2025;01.12.2025;3741000;cash;;WBA9K6EG2HLVNBMP0
S001112;L0005805;C000367;D001;V008;A0012;07.11.2025;20.11.2025;4094000;financing;;WBAKWNKJSG3X8B5FY
S002636;L0014325;C001359;D002;V026;A0021;31.03.2026;20.04.2026;2749000;financing;550000;WBAGRPKB80J44G1CE
S001442;L0007806;C000102;D013;V019;A0134;14.07.2026;13.08.2026;4458000;financing;;WBABR4THMTKWN6VFT
S001616;L0008796;C001883;D002;V034;A0024;20.04.2026;02.06.2026;5611000;financing;;WBAKG2F6ARDPHRG8R
S002129;L0011524;C002818;D004;V020;A0044;07.04.2026;16.04.2026;6361000;financing;2040000;WBA45FE33DD0HZBHH
S001075;L0005613;C003327;D003;V033;A0034;15.08.2025;21.08.2025;5113000;bank_transfer;;WBAH6KN1J0ZV4LMRC
S001816;L0009678;C004632;D005;V023;A0053;31.03.2026;21.04.2026;15871000;cash;7820000;WBAGMYE18M3WM6K69
S001858;L0009957;C005042;D006;V002;A0061;15.06.2026;08.07.2026;3765000;financing;;WBAWALTJNNR6XU30D
S002158;L0011734;C001511;D002;V035;A0023;19.09.2024;22.10.2024;7846000;financing;;WBA90XL483XLT68ZV
S002090;L0011285;C001421;D001;V027;A0012;03.07.2025;29.07.2025;3536000;bank_transfer;;WBA1H9TK1LF0AGB7C
S002120;L0011467;C002680;D005;V027;A0054;28.07.2025;05.09.2025;3475000;cash;;WBAH6SFHG5J6STZT5
S000328;L0001873;C005368;D002;V027;A0021;21.08.2026;22.09.2026;3448000;cash;1070000;WBA8L2VXJE3CK4LR2
S000443;L0002439;C000976;D002;V032;A0023;25.05.2026;11.06.2026;5989000;financing;;WBASTU7CKR05FNX3L
S001955;L0010549;C000826;D005;V028;A0052;06.04.2026;13.05.2026;3901000;financing;;WBA4ZPD2EJRR5HSAE
S002574;L0013934;C003419;D004;V029;A0044;10.04.2026;22.04.2026;3247000;cash;;WBARVLKGSCPE7NWBV
S000833;L0004378;C002317;D014;V016;A0143;30.05.2026;23.06.2026;5226000;bank_transfer;;WBA6TGFPLBDXLV82E
S002186;L0011848;C004656;D004;V003;A0042;29.07.2025;08.08.2025;4602000;bank_transfer;;WBAP22P40YNYE0NTP
S001861;L0009969;C004002;D005;V018;A0054;27.10.2025;05.11.2025;4414000;bank_transfer;1440000;WBAY0V2Z4RHJPDVST
S001415;L0007677;C004115;D012;V025;A0123;22.06.2026;28.07.2026;2855000;bank_transfer;1240000;WBAKYDF4K8JBFC9T2
S001202;L0006346;C000926;D003;V025;A0031;21.07.2026;28.07.2026;2928000;financing;;WBAMZVH9GK31Z10MJ
S001500;L0008115;C000189;D001;V027;A0014;29.10.2025;13.11.2025;3614000;financing;;WBAEAVWG1UGN2U4AZ
S001614;L0008793;C005880;D001;V001;A0012;05.01.2026;15.02.2026;3318000;financing;;WBAV47YG19N7EBZZ8
S000087;L0000483;C003757;D009;V011;A0093;21.07.2025;26.08.2025;6179000;financing;;WBA8RV9JN12N3R6EF
S001404;L0007595;C003227;D001;V026;A0014;22.05.2026;23.06.2026;2660000;cash;;WBAZLCUUCEZRYGJ5P
S002699;L0014720;C005925;D003;V005;A0033;17.10.2025;30.10.2025;6425000;financing;3420000;WBAJAX5PM3V9Z635N
S001482;L0008012;C003157;D011;V029;A0112;06.01.2026;12.01.2026;3126000;financing;;WBAS67E41DPU0WEVC
S000778;L0004098;C001133;D004;V008;A0042;08.11.2025;12.11.2025;4031000;cash;;WBARJWZPTPLSZURT4
S001835;L0009798;C002697;D008;V027;A0081;20.05.2026;27.05.2026;3489000;financing;1540000;WBAS7HNCFTFM6VYZW
S000055;L0000321;C000349;D011;V028;A0111;03.01.2025;19.01.2025;3653000;cash;;WBAYEANU1FNG8U3FU
S002174;L0011788;C000454;D003;V012;A0032;23.07.2025;28.08.2025;6770000;financing;;WBAVYHT14G209UHB9
S001288;L0006922;C001272;D001;V029;A0012;08.01.2025;05.02.2025;3159000;cash;1480000;WBAJV4DEDH0WLPRRT
S002387;L0012951;C005358;D004;V016;A0044;16.07.2025;20.08.2025;5114000;financing;;WBATMK8UM0R44SAJ5
S001934;L0010403;C000534;D005;V026;A0054;13.06.2026;27.07.2026;2784000;cash;;WBARUA27F3XCB6SA8
S001246;L0006633;C002017;D009;V011;A0091;28.08.2026;17.09.2026;6160000;financing;;WBASUDHZC83HNCW1Y
S000114;L0000662;C000404;D010;V030;A0103;27.06.2025;05.07.2025;11201000;cash;;WBAX1EGLHUTJ8BFH8
S002594;L0014058;C000461;D009;V028;A0091;28.03.2025;12.04.2025;3923000;cash;;WBA0HYGT7CPU5HT2X
S000988;L0005205;C005496;D012;V017;A0122;17.01.2026;18.02.2026;3891000;financing;;WBA7GLTH1VU6HSMHW
S000502;L0002710;C001351;D004;V009;A0041;27.02.2025;26.03.2025;4734000;bank_transfer;;WBA7VH9HJWKCWM9TM
S002562;L0013863;C002689;D001;V026;A0012;23.04.2026;11.05.2026;2788000;financing;870000;WBAJFVPC6C515BAVB
S001010;L0005341;C001475;D002;V017;A0024;15.09.2025;03.10.2025;4042000;financing;1200000;WBAY1GTKPD514SCVG
S001199;L0006335;C003920;D004;V025;A0044;29.08.2026;16.09.2026;3034000;financing;;WBAT7L76BZNXTY4LN
S001395;L0007552;C005356;D001;V020;A0013;08.07.2026;02.08.2026;6371000;financing;;WBAN1G3FNFN8GANHA
S000590;L0003094;C001299;D002;V010;A0023;10.04.2026;12.05.2026;4510000;financing;1500000;WBAMZ0KWEK4Y2KJ49
S000769;L0004047;C002671;D003;V021;A0034;25.06.2026;17.07.2026;6713000;financing;;WBAA7K5CWYS1SKZHR
S000018;L0000075;C005023;D011;V033;A0111;06.07.2026;22.07.2026;5234000;cash;;WBAA0WN6FHU71KVTF
S001043;L0005494;C004127;D001;V010;A0011;22.01.2026;06.03.2026;4364000;cash;2270000;WBAZUTJEDLDYDUG0H
S001448;L0007848;C002540;D003;V038;A0033;09.02.2026;06.03.2026;21395000;cash;;WBAKNPDS9V4PFJPVZ
S002271;L0012280;C004395;D014;V018;A0142;06.10.2025;19.10.2025;4609000;financing;;WBA5LZ5XWX71RCRU0
S000286;L0001583;C000686;D002;V009;A0021;24.11.2025;07.01.2026;4628000;bank_transfer;;WBAHE25HZG1GB3041
S002435;L0013177;C000719;D002;V009;A0022;14.08.2025;16.09.2025;4701000;cash;;WBA8984SR22BP6MXK
S000429;L0002383;C004908;D004;V029;A0044;14.07.2025;18.07.2025;3112000;financing;;WBA8GXE8D31GNBA9W
S001329;L0007166;C005587;D002;V017;A0021;03.08.2026;12.08.2026;3895000;financing;730000;WBA4B4B0ENKSVAEA4
S001667;L0009063;C005639;D002;V002;A0023;18.01.2025;10.02.2025;3781000;financing;;WBAADVJ21WNSKUYU3
S000670;L0003602;C005343;D007;V027;A0073;26.06.2025;22.07.2025;3568000;financing;;WBA6171NMP4DEEH9Z
S000032;L0000158;C001843;D005;V026;A0051;10.02.2026;11.03.2026;2740000;financing;;WBALT97PHRHJ3MWW5
S001342;L0007239;C000944;D003;V009;A0034;09.01.2026;18.02.2026;4693000;financing;;WBAWZG3F78NAX0TJ8
S000723;L0003859;C000187;D004;V031;A0044;03.12.2025;24.12.2025;10282000;financing;5170000;WBADJ7EA9BDZAXCYA
S000952;L0005026;C004229;D008;V001;A0084;19.12.2025;06.01.2026;3203000;bank_transfer;;WBABGVAMGM7AMUNGZ
S002112;L0011429;C000419;D006;V024;A0064;13.06.2026;25.07.2026;2576000;financing;;WBAGGAD343L9SLW84
S000215;L0001198;C004438;D007;V008;A0073;04.02.2026;15.02.2026;3946000;financing;;WBA198CJNJ09F7DXN
S000990;L0005218;C006139;D009;V018;A0094;12.09.2025;10.10.2025;4662000;financing;;WBABWSJRMM2XKHZW5
S001165;L0006099;C001483;D005;V020;A0053;09.03.2026;21.03.2026;6138000;cash;3200000;WBAM3750NV6ZB851X
S000327;L0001866;C003686;D007;V006;A0074;26.03.2025;08.04.2025;7662000;financing;;WBAJ4FSKUD7GDR9JJ
S000561;L0002964;C001933;D008;V017;A0084;28.05.2026;24.06.2026;4062000;financing;;WBA4SWRUK0SH9YYY4
S001384;L0007502;C004675;D001;V005;A0012;09.07.2025;05.08.2025;6675000;cash;1910000;WBAD21UNY39099V55
S001087;L0005667;C003644;D001;V003;A0013;06.08.2026;19.09.2026;4309000;cash;;WBAJD5E1FFVPHKT5Y
S002146;L0011634;C004638;D005;V008;A0051;13.07.2026;31.07.2026;4005000;cash;;WBA8C9K65ANCK8L9Z
S000342;L0001940;C001553;D005;V025;A0053;12.10.2024;23.11.2024;3024000;financing;;WBAE57LS0FG3ZUEUM
S000148;L0000837;C001682;D001;V027;A0013;02.12.2025;22.12.2025;3616000;financing;1400000;WBAANAJFG81VZN5V4
S002153;L0011693;C002847;D003;V002;A0032;27.06.2026;20.07.2026;3441000;financing;;WBA1BP2YPNWSTWEPT
S002222;L0012024;C004258;D004;V010;A0044;21.04.2025;24.05.2025;4296000;financing;1480000;WBAUJ3JFXM0MMKNX1
S001108;L0005776;C005631;D003;V019;A0033;07.11.2025;23.11.2025;4155000;bank_transfer;1830000;WBAD83FYMNWBUECCY
S000849;L0004447;C005518;D003;V020;A0033;25.06.2026;06.07.2026;6459000;cash;;WBAMHSL16AJT6EU4C
S000967;L0005093;C002997;D001;V014;A0014;15.08.2026;11.09.2026;11006000;cash;;WBAT1JZN4PV5942UK
S001073;L0005608;C005352;D010;V011;A0104;17.03.2026;17.04.2026;6400000;financing;;WBABPK451TXY1ZGVT
S002272;L0012281;C004481;D002;V034;A0021;04.05.2026;25.05.2026;5898000;bank_transfer;;WBAZR42BM4DF4WEF4
S000156;L0000873;C001185;D014;V017;A0143;18.04.2026;17.05.2026;3999000;cash;;WBA1MTD8JRABUM2PU
S002043;L0011012;C002804;D009;V027;A0093;06.01.2026;17.01.2026;3561000;financing;;WBAT90UH4RNB9VGLN
S001971;L0010643;C005472;D001;V004;A0013;31.12.2025;04.02.2026;4888000;bank_transfer;;WBACW3XRHJ24X00EN
S001003;L0005299;C003747;D005;V024;A0054;05.08.2026;13.08.2026;2515000;bank_transfer;;WBA1P7JUTZF3U6ZZE
S002155;L0011697;C001616;D002;V027;A0021;05.06.2026;10.06.2026;3612000;cash;1500000;WBAGE8Z47GUX4PE07
S002322;L0012540;C002603;D010;V017;A0104;10.10.2024;22.11.2024;3850000;cash;;WBA1YDRJEY2WNC497
S000177;L0001002;C005727;D012;V029;A0123;18.07.2026;25.08.2026;2948000;financing;1140000;WBAW6NG54P9419DHF
S002449;L0013248;C005583;D013;V017;A0133;03.06.2026;01.07.2026;4100000;bank_transfer;;WBAYL29D7Y2VG83H6
S001525;L0008261;C003382;D003;V008;A0031;21.05.2025;10.06.2025;4106000;bank_transfer;;WBATC19N8W5797BV2
S002624;L0014239;C001177;D002;V009;A0021;23.04.2026;07.05.2026;4704000;cash;1440000;WBALURFP5KSEFCM9Y
S001204;L0006353;C003443;D002;V024;A0022;07.05.2026;02.06.2026;2598000;financing;970000;WBAT05UKTSZAFW4Z3
S002005;L0010815;C003972;D003;V016;A0033;03.08.2026;12.09.2026;5076000;bank_transfer;;WBA226JHUKE9XZDT5
S002598;L0014074;C004274;D001;V013;A0014;30.04.2025;13.06.2025;10983000;bank_transfer;;WBAJ9958CXYZS78UA
S001710;L0009240;C001895;D010;V017;A0101;12.06.2026;26.07.2026;3913000;financing;;WBAPXV2ZY31SN03EE
S001814;L0009669;C001021;D003;V008;A0034;30.03.2026;16.04.2026;3913000;financing;;WBARCMZZSG227SS2K
S002117;L0011456;C003513;D012;V008;A0123;29.01.2025;10.03.2025;4069000;bank_transfer;;WBAL4HJZSZD0REHBT
S000876;L0004561;C004560;D009;V001;A0094;13.12.2025;12.01.2026;3295000;cash;;WBAYDNF7BAK8XFWP5
S002486;L0013452;C005106;D001;V029;A0014;28.04.2026;21.05.2026;3113000;financing;;WBA2MUR41J7CSR340
S000939;L0004928;C004409;D002;V001;A0022;21.02.2026;05.04.2026;3196000;cash;;WBA9HX0FK8CHUXRLA
S002488;L0013461;C000715;D006;V022;A0062;24.12.2025;11.01.2026;8974000;financing;;WBA8J8DZZRTG7AHG2
S001553;L0008398;C002174;D013;V002;A0132;02.09.2025;15.10.2025;3854000;cash;;WBALP3LWTYF6B44VT
S000347;L0001964;C001211;D002;V020;A0023;09.06.2026;21.07.2026;6266000;cash;;WBASTL9C9N24TVN0V
S002314;L0012511;C005342;D005;V009;A0053;04.03.2026;17.03.2026;4551000;cash;;WBAPDUS3N3JNUXYUR
S002367;L0012824;C000040;D001;V010;A0014;28.12.2024;15.01.2025;4176000;cash;;WBANWM8NGAJ6KLC01
S001743;L0009377;C001578;D004;V003;A0041;26.06.2026;29.06.2026;4293000;financing;850000;WBAAF28XYC6EU2724
S000386;L0002154;C003385;D007;V004;A0074;09.01.2026;26.01.2026;4927000;financing;1930000;WBA7PKVBYDGSCLJYC
S001942;L0010448;C005896;D007;V038;A0072;11.03.2026;02.04.2026;19816000;cash;;WBAYKNY2MBYYA4389
S002315;L0012513;C000042;D005;V002;A0051;10.10.2025;23.11.2025;3718000;cash;1150000;WBAMXDTG2XHSB1LAH
S002022;L0010881;C000573;D003;V036;A0033;23.12.2025;15.01.2026;14069000;bank_transfer;;WBA8WFY2YZGDEWBVE
S000244;L0001344;C003980;D004;V017;A0043;03.01.2026;15.01.2026;3951000;cash;;WBABZ34GL7CBXRWE0
S001830;L0009773;C000663;D003;V013;A0033;21.02.2026;15.03.2026;10581000;cash;;WBANTMB76B2WM4DD8
S000937;L0004919;C002641;D005;V024;A0051;10.04.2026;30.04.2026;2470000;financing;;WBAAXPZ93R8J57697
S001690;L0009167;C002052;D006;V024;A0061;27.11.2025;10.12.2025;2557000;financing;;WBAB4BA6HWEEUUSBW
S002381;L0012916;C004665;D005;V008;A0054;19.12.2025;31.01.2026;3696000;financing;;WBA8D55UJUAJJF4YD
S000313;L0001775;C003638;D003;V019;A0032;25.11.2025;30.11.2025;4272000;financing;;WBA12XZ1VEBC26LLT
S001460;L0007926;C000445;D002;V032;A0024;18.04.2026;25.04.2026;5770000;financing;;WBAWXPWH115BZFTM8
S002698;L0014696;C003239;D007;V011;A0074;04.11.2024;08.11.2024;6319000;bank_transfer;;WBA6NBRPDTJ8GBG9T
S001870;L0010044;C005335;D004;V028;A0043;03.04.2026;04.05.2026;3860000;financing;;WBAULK4DCCB32MYN5
S001333;L9160753;C004379;D003;V028;A0034;13.10.2025;23.10.2025;3917000;financing;1480000;WBAD8EAGUBYC5GUN4
S000969;L0005108;C004072;D007;V021;A0074;02.07.2026;20.07.2026;7108000;cash;;WBAK9N8UELRGX1BZS
S001455;L0007910;C004489;D003;V008;A0033;05.06.2026;13.07.2026;4098000;bank_transfer;1080000;WBAY9SSZLXFY3CWDW
S000661;L0003560;C001347;D002;V033;A0022;28.08.2025;17.09.2025;5145000;cash;;WBAA37FW7EMS9VTUL
S000936;L0004903;C001834;D005;V010;A0051;15.04.2026;17.05.2026;4344000;financing;;WBA4Y538Y7ZZDL8T4
S000371;L0002067;C002012;D013;V002;A0134;10.06.2025;14.06.2025;3691000;cash;;WBAWCE06R1L40NTLS
S000567;L0002995;C002110;D007;V025;A0074;18.03.2025;06.04.2025;2845000;financing;750000;WBAPYA8SNMBB3SNXZ
S001025;L0005432;C001550;D007;V009;A0072;09.07.2026;07.08.2026;4699000;financing;;WBA20H33M0A9FE055
S000825;L0004342;C002017;D002;V008;A0024;27.11.2025;24.12.2025;3926000;financing;1220000;WBAPXP2MB163LB0JD
S000983;L0005187;C002573;D002;V025;A0024;18.11.2025;24.11.2025;2924000;financing;;WBA1C57UC14G5VYMY
S002237;L0012093;C000521;D001;V020;A0013;01.07.2025;09.08.2025;6205000;cash;2670000;WBA3N1YJ4DJPZDR4N
S001860;L0009967;C000476;D002;V002;A0021;24.06.2026;26.07.2026;3779000;financing;;WBAHK10CUGRRHY35J
S001646;L0008956;C001514;D002;V017;A0021;17.12.2024;24.12.2024;3895000;cash;;WBA3G638FSHXHKF1C
S002383;L0012927;C004678;D004;V019;A0044;07.04.2026;16.05.2026;4231000;financing;1750000;WBAN6BJMP2GRA6YVD
S002073;L0011172;C001720;D006;V026;A0064;12.12.2025;28.12.2025;2900000;financing;;WBAJK491GHZW3VYVS
